Cycle,Stations,Curvature,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Kendall_tau,Kendall_p
24,JUNG vs MOSC,FR,4017,0.3326,2.364055107312151e-104,0.3848,6.643889835590891e-142,0.2697,6.331439378839937e-144
25,JUNG vs MOSC,FR,2279,0.3579,7.507886136700068e-70,0.4078,4.570137508811726e-92,0.2843,2.445187982304488e-91
