Cycle,Stations,Curvature,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Kendall_tau,Kendall_p
24,JUNG vs MOSC,FR,132,0.4947,1.6449631470162417e-09,0.5081,5.023300365476514e-10,0.3581,1.3750260744180443e-09
24,JUNG vs MOSC,OR,132,0.2786,0.001218729144510627,0.305,0.00037733223506125954,0.2195,0.00019016604396664342
25,JUNG vs MOSC,FR,80,0.429,7.165210610314782e-05,0.3648,0.0008770831005123253,0.2658,0.0005894682080792826
25,JUNG vs MOSC,OR,80,0.5622,5.742364694575123e-08,0.6288,4.2060611247044247e-10,0.4667,1.0045358484126256e-09
