Variable,Curvature,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Kendall_tau,Kendall_p,Station,Cycle,Metric,Stations
Proton Density (N/cm³),FR,80,-0.013206911497311291,0.9074368794930272,-0.0018294079896681885,0.987150459645822,0.00446871436650675,0.9535849659326383,MOSC,25,,
SW Speed (km/s),FR,80,0.0023692055813754748,0.9833594643780375,-0.0363534072641027,0.7488598170842443,-0.0220208928035378,0.77421387979726,MOSC,25,,
Sunspot Number,FR,80,0.01377593616173984,0.9034675063785719,0.010542488106589785,0.9260518242777217,0.0028722903656788435,0.9701521335164477,MOSC,25,,
Dst Index (nT),FR,80,0.004261461261525726,0.9700736269490013,0.0107422232232079,0.9246548752757877,0.009263956919535282,0.9040287877297886,MOSC,25,,
Scalar B (nT),OR,80,0.08558734477960361,0.45033598223766436,0.04420193889200727,0.6970377798196837,0.019651371745831564,0.796702327487244,MOSC,25,,
SW Temperature (K),OR,80,0.028379400959535783,0.8026736251410141,-0.019680470803415593,0.8624361983855366,-0.009508728264112046,0.900797871408399,MOSC,25,,
Proton Density (N/cm³),OR,80,0.08943596928240723,0.43015141177541244,0.1476395608680834,0.1912397908127284,0.09478532389686145,0.2140924898065294,MOSC,25,,
SW Speed (km/s),OR,80,-0.04260926578836203,0.7074512857499632,-0.06374175117866229,0.5743051898810949,-0.03042793044515855,0.6899733724652121,MOSC,25,,
Sunspot Number,OR,80,-0.002147188658129618,0.9849186480784068,-0.008076143170669056,0.9433185762535731,-0.008874813046504577,0.9073804962136732,MOSC,25,,
Dst Index (nT),OR,80,0.00215202673052433,0.9848846705694423,0.05227992034817235,0.6451131880492349,0.027918787346119404,0.7146119700196538,MOSC,25,,
,,80,0.4290226608382812,7.165210610314782e-05,0.3648294271278059,0.0008770831005123253,,,,25,FR,JUNG vs MOSC
,,80,0.5621980200971581,5.742364694575123e-08,0.6288479122218836,4.2060611247044247e-10,,,,25,OR,JUNG vs MOSC
