Variable,Curvature,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Kendall_tau,Kendall_p,Station,Cycle,Metric,Stations
SW Temperature (K),FR,331,0.15491291979707444,0.004730962884299689,0.13666724165987787,0.012820235779321888,0.09110113078359262,0.013752808892197262,MOSC,25,,
Proton Density (N/cm³),FR,331,-0.024320217965600837,0.6593151208323226,-0.05476977413279393,0.32050289974984936,-0.037443698977019435,0.31171714986736754,MOSC,25,,
SW Speed (km/s),FR,331,0.15353183119665006,0.0051211099183364915,0.169442588372508,0.0019782775085476737,0.1148502014338597,0.0019063544694683594,MOSC,25,,
Sunspot Number,FR,331,0.14184552611773507,0.009767074551519697,0.06726517575348424,0.22226182305869494,0.043824039573781816,0.23910368218667288,MOSC,25,,
Dst Index (nT),FR,331,-0.07845232916276146,0.154414271604183,-0.063921207714625,0.24615819530448377,-0.041392566163418514,0.2641839440904391,MOSC,25,,
Scalar B (nT),OR,315,0.09373328490675858,0.09678475784637881,0.09056492067828853,0.10865320314262,0.05996455729224748,0.11304214474599013,MOSC,25,,
SW Temperature (K),OR,315,0.09774523579796138,0.08326308389119716,0.1034005252962011,0.06683275435511923,0.06244120931239799,0.09851662907606677,MOSC,25,,
Proton Density (N/cm³),OR,315,-0.0566493645406483,0.31623038017910626,-0.060256749405488544,0.2863474104452141,-0.03961318541189648,0.29502643281951957,MOSC,25,,
SW Speed (km/s),OR,315,0.11077952530559992,0.049486599796500226,0.11971264810825687,0.033679720060181655,0.07674399873911343,0.04240488925113121,MOSC,25,,
Sunspot Number,OR,315,0.03868764103526605,0.4938716412409677,0.035845447224639754,0.5261668924122588,0.025096125266613506,0.5097804332267866,MOSC,25,,
Dst Index (nT),OR,315,-0.0553705896129425,0.3272957999529869,-0.04453424703273684,0.4308996610476725,-0.029639154215593166,0.4341039282678433,MOSC,25,,
,,331,0.3314801765459983,6.264188923882396e-10,0.35439586997870903,3.136417819217373e-11,,,,25,FR,JUNG vs MOSC
,,295,0.2580367276392546,7.14354326444177e-06,0.25988700698046,6.1054092418507895e-06,,,,25,OR,JUNG vs MOSC
